MILES 	 KILOMETERS 	 | 	 KILOMETERS 	 MILES
1             1.609 	 |        20         12.420
2             3.218 	 |        25         15.525
3             4.827 	 |        30         18.630
4             6.436 	 |        35         21.735
5             8.045 	 |        40         24.840
6             9.654 	 |        45         27.945
7            11.263 	 |        50         31.050
8            12.872 	 |        55         34.155
9            14.481 	 |        60         37.260
10           16.090 	 |        65         40.365
